prop,target,n_target,alpha,method,coverage,width_sd
oc,KSSL.SSL,19747,0.1,C3n_k50,0.9144184393562472,1.3172593960324197
oc,KSSL.SSL,19747,0.05,C0,0.7360207138142865,0.8363013633402628
oc,KSSL.SSL,19747,0.05,C0n,0.8285652637457479,1.0693594997428342
oc,KSSL.SSL,19747,0.05,C4,0.7929735492714626,1.332098835479556
oc,KSSL.SSL,19747,0.05,C2_k25,0.9745748083464489,2.6722250495167605
oc,KSSL.SSL,19747,0.05,C4t_k25,0.9615347514849979,2.43091388882404
oc,KSSL.SSL,19747,0.05,C3n_k25,0.9789485708483523,2.0149273370975957
oc,KSSL.SSL,19747,0.05,C2_k50,0.9654845915621669,2.4685484455467206
oc,KSSL.SSL,19747,0.05,C4t_k50,0.9577473726963499,2.453391898104903
oc,KSSL.SSL,19747,0.05,C3n_k50,0.9772655734375792,1.9379740529060427
oc,ICRAF.ISRIC,3700,0.2,C0,0.593917808219178,1.2637766017786862
oc,ICRAF.ISRIC,3700,0.2,C0n,0.695013698630137,1.5292041627090844
oc,ICRAF.ISRIC,3700,0.2,C4,0.7740273972602738,1.9780986831022955
oc,ICRAF.ISRIC,3700,0.2,C2_k25,0.823986301369863,2.3286950886707043
oc,ICRAF.ISRIC,3700,0.2,C4t_k25,0.8253972602739725,2.1834532245253726
oc,ICRAF.ISRIC,3700,0.2,C3n_k25,0.8084794520547947,1.8098111591476305
oc,ICRAF.ISRIC,3700,0.2,C2_k50,0.8134657534246574,2.2729873999507086
oc,ICRAF.ISRIC,3700,0.2,C4t_k50,0.8233150684931507,2.1625377152622933
oc,ICRAF.ISRIC,3700,0.2,C3n_k50,0.8129041095890411,1.6828762716617058
oc,ICRAF.ISRIC,3700,0.1,C0,0.7318082191780823,1.7840095664986162
oc,ICRAF.ISRIC,3700,0.1,C0n,0.8154931506849314,2.005642418632465
oc,ICRAF.ISRIC,3700,0.1,C4,0.8679452054794521,2.8241759761272904
oc,ICRAF.ISRIC,3700,0.1,C2_k25,0.9098356164383563,3.1770249671525423
oc,ICRAF.ISRIC,3700,0.1,C4t_k25,0.8999999999999998,2.9248695275190864
oc,ICRAF.ISRIC,3700,0.1,C3n_k25,0.9080547945205479,2.4807431740852417
oc,ICRAF.ISRIC,3700,0.1,C2_k50,0.9010000000000001,2.932179376809421
oc,ICRAF.ISRIC,3700,0.1,C4t_k50,0.8923972602739726,2.896698034750636
oc,ICRAF.ISRIC,3700,0.1,C3n_k50,0.8964520547945206,2.3149438547563608
oc,ICRAF.ISRIC,3700,0.05,C0,0.8293835616438356,2.322246152040547
oc,ICRAF.ISRIC,3700,0.05,C0n,0.8785205479452054,2.516024262459192
oc,ICRAF.ISRIC,3700,0.05,C4,0.9353561643835617,4.181186925380644
oc,ICRAF.ISRIC,3700,0.05,C2_k25,0.9583013698630138,4.234686483136704
oc,ICRAF.ISRIC,3700,0.05,C4t_k25,0.9692191780821917,4.548295721544385
oc,ICRAF.ISRIC,3700,0.05,C3n_k25,0.9624794520547943,3.7094872586758596
oc,ICRAF.ISRIC,3700,0.05,C2_k50,0.9542876712328768,4.059706434412678
