prop,target,n_target,alpha,method,coverage,width_sd
clay.tot,GARRETT.SSL,142,0.05,C2_k25,0.9521739130434783,6.983575276205568
clay.tot,GARRETT.SSL,142,0.05,C4t_k25,0.9527173913043476,6.633689072680989
clay.tot,GARRETT.SSL,142,0.05,C3n_k25,0.9505434782608695,6.315139830416287
clay.tot,GARRETT.SSL,142,0.05,C2_k50,0.9516304347826088,6.993464726018177
clay.tot,GARRETT.SSL,142,0.05,C4t_k50,0.951086956521739,6.467521865545546
clay.tot,GARRETT.SSL,142,0.05,C3n_k50,0.9603260869565217,6.016621037416984
clay.tot,SERBIA.SSL,135,0.2,C0,0.6064705882352941,0.93124519336378
clay.tot,SERBIA.SSL,135,0.2,C0n,0.7052941176470586,1.1759666941082116
clay.tot,SERBIA.SSL,135,0.2,C4,0.9305882352941177,1.9862520610834151
clay.tot,SERBIA.SSL,135,0.2,C2_k25,0.8176470588235295,1.780278125436797
clay.tot,SERBIA.SSL,135,0.2,C4t_k25,0.8317647058823529,1.5065415438666834
clay.tot,SERBIA.SSL,135,0.2,C3n_k25,0.8258823529411765,1.8365716506616545
clay.tot,SERBIA.SSL,135,0.2,C2_k50,0.8100000000000002,1.6541956372724123
clay.tot,SERBIA.SSL,135,0.2,C4t_k50,0.8305882352941177,1.4834217569960395
clay.tot,SERBIA.SSL,135,0.2,C3n_k50,0.8170588235294118,1.7421758078422385
clay.tot,SERBIA.SSL,135,0.1,C0,0.7364705882352942,1.4409820116337577
clay.tot,SERBIA.SSL,135,0.1,C0n,0.7882352941176473,1.58790643929188
clay.tot,SERBIA.SSL,135,0.1,C4,0.9941176470588236,2.7581777413509405
clay.tot,SERBIA.SSL,135,0.1,C2_k25,0.9347058823529413,2.5284137942700102
clay.tot,SERBIA.SSL,135,0.1,C4t_k25,0.9370588235294118,2.4162406365796847
clay.tot,SERBIA.SSL,135,0.1,C3n_k25,0.9311764705882354,2.423811981784846
clay.tot,SERBIA.SSL,135,0.1,C2_k50,0.9041176470588235,2.308892843825598
clay.tot,SERBIA.SSL,135,0.1,C4t_k50,0.9158823529411764,2.2702395654526564
clay.tot,SERBIA.SSL,135,0.1,C3n_k50,0.8976470588235295,2.139189785294942
