prop,model,target,n_target,method,k,coverage,width_sd,cov_source_test,rmse_std_source,rmse_std_target,n_train
clay.tot,hgb,ICRAF.ISRIC,3738,C3n,50,0.895092190889371,1.9961351531256675,0.896,0.3996695687525431,0.6536878532780941,8000
clay.tot,plsr,AFSIS1.SSL,1896,C0,0,0.3628927410617552,0.8248156625894876,0.8865,0.4402752639743392,0.8127725084615073,8000
clay.tot,plsr,AFSIS1.SSL,1896,C0n,0,0.4229685807150596,0.9572137485101181,0.8865,0.4402752639743392,0.8127725084615073,8000
clay.tot,plsr,AFSIS1.SSL,1896,C2,25,0.9228060671722643,2.852151601313757,0.8865,0.4402752639743392,0.8127725084615073,8000
clay.tot,plsr,AFSIS1.SSL,1896,C3n,25,0.8950162513542794,2.2543964702938224,0.8865,0.4402752639743392,0.8127725084615073,8000
clay.tot,plsr,AFSIS1.SSL,1896,C2,50,0.9001083423618634,2.638093483263131,0.8865,0.4402752639743392,0.8127725084615073,8000
clay.tot,plsr,AFSIS1.SSL,1896,C3n,50,0.8933911159263273,2.044280371566356,0.8865,0.4402752639743392,0.8127725084615073,8000
clay.tot,hgb,AFSIS1.SSL,1896,C0,0,0.31641386782231856,0.810491919952966,0.8955,0.4103350304423653,0.8786237715603659,8000
clay.tot,hgb,AFSIS1.SSL,1896,C0n,0,0.33862405200433365,0.9693240397077167,0.8955,0.4103350304423653,0.8786237715603659,8000
clay.tot,hgb,AFSIS1.SSL,1896,C2,25,0.9319068255687976,3.5397501401842053,0.8955,0.4103350304423653,0.8786237715603659,8000
clay.tot,hgb,AFSIS1.SSL,1896,C3n,25,0.8930660888407367,2.327672879734004,0.8955,0.4103350304423653,0.8786237715603659,8000
clay.tot,hgb,AFSIS1.SSL,1896,C2,50,0.905092091007584,2.9264168865607063,0.8955,0.4103350304423653,0.8786237715603659,8000
clay.tot,hgb,AFSIS1.SSL,1896,C3n,50,0.89068255687974,2.0779210490272275,0.8955,0.4103350304423653,0.8786237715603659,8000
clay.tot,plsr,CAF.SSL,511,C0,0,0.5171366594360086,1.0787916190735172,0.9095,0.4488337761444521,0.8479403445994282,8000
clay.tot,plsr,CAF.SSL,511,C0n,0,0.7177874186550977,1.8464949424443795,0.9095,0.4488337761444521,0.8479403445994282,8000
clay.tot,plsr,CAF.SSL,511,C2,25,0.9073752711496746,2.9444110806382113,0.9095,0.4488337761444521,0.8479403445994282,8000
clay.tot,plsr,CAF.SSL,511,C3n,25,0.8902386117136659,3.389015992726436,0.9095,0.4488337761444521,0.8479403445994282,8000
clay.tot,plsr,CAF.SSL,511,C2,50,0.8984815618221258,2.6737225114265684,0.9095,0.4488337761444521,0.8479403445994282,8000
clay.tot,plsr,CAF.SSL,511,C3n,50,0.8969631236442517,3.1245580487636793,0.9095,0.4488337761444521,0.8479403445994282,8000
clay.tot,hgb,CAF.SSL,511,C0,0,0.5297180043383948,0.9755014421002746,0.896,0.4124350701553546,0.7898140145553004,8000
clay.tot,hgb,CAF.SSL,511,C0n,0,0.7182212581344902,1.878768392934123,0.896,0.4124350701553546,0.7898140145553004,8000
clay.tot,hgb,CAF.SSL,511,C2,25,0.9318872017353579,3.0917993450394077,0.896,0.4124350701553546,0.7898140145553004,8000
clay.tot,hgb,CAF.SSL,511,C3n,25,0.9281995661605205,3.7126834356720573,0.896,0.4124350701553546,0.7898140145553004,8000
clay.tot,hgb,CAF.SSL,511,C2,50,0.9036876355748374,2.6606998277474365,0.896,0.4124350701553546,0.7898140145553004,8000
clay.tot,hgb,CAF.SSL,511,C3n,50,0.9154013015184381,3.0716940947486444,0.896,0.4124350701553546,0.7898140145553004,8000
clay.tot,plsr,GARRETT.SSL,142,C0,0,0.2608695652173913,0.8122508603608498,0.898,0.4382426738360985,1.6036742095515877,8000
clay.tot,plsr,GARRETT.SSL,142,C0n,0,0.266304347826087,0.646146180881064,0.898,0.4382426738360985,1.6036742095515877,8000
clay.tot,plsr,GARRETT.SSL,142,C2,25,0.9347826086956523,6.547795011301528,0.898,0.4382426738360985,1.6036742095515877,8000
clay.tot,plsr,GARRETT.SSL,142,C3n,25,0.9141304347826088,3.9710043949651164,0.898,0.4382426738360985,1.6036742095515877,8000
clay.tot,plsr,GARRETT.SSL,142,C2,50,0.9032608695652173,6.299478359030471,0.898,0.4382426738360985,1.6036742095515877,8000
clay.tot,plsr,GARRETT.SSL,142,C3n,50,0.8847826086956523,3.5096384238430196,0.898,0.4382426738360985,1.6036742095515877,8000
clay.tot,hgb,GARRETT.SSL,142,C0,0,0.2793478260869565,0.766744148452864,0.897,0.39237949794006033,1.5625874400273583,8000
clay.tot,hgb,GARRETT.SSL,142,C0n,0,0.30434782608695654,0.6827893700409058,0.897,0.39237949794006033,1.5625874400273583,8000
clay.tot,hgb,GARRETT.SSL,142,C2,25,0.9206521739130433,6.652000140601373,0.897,0.39237949794006033,1.5625874400273583,8000
clay.tot,hgb,GARRETT.SSL,142,C3n,25,0.9195652173913043,5.604045456439904,0.897,0.39237949794006033,1.5625874400273583,8000
clay.tot,hgb,GARRETT.SSL,142,C2,50,0.8923913043478262,6.313549866543321,0.897,0.39237949794006033,1.5625874400273583,8000
clay.tot,hgb,GARRETT.SSL,142,C3n,50,0.8945652173913043,4.784494888868869,0.897,0.39237949794006033,1.5625874400273583,8000
clay.tot,plsr,SERBIA.SSL,135,C0,0,0.7141176470588235,1.5773693402294615,0.8995,0.41233439948747463,1.1103409012068564,8000
clay.tot,plsr,SERBIA.SSL,135,C0n,0,0.863529411764706,2.3694240999361016,0.8995,0.41233439948747463,1.1103409012068564,8000
clay.tot,plsr,SERBIA.SSL,135,C2,25,0.9164705882352943,2.7622351807512766,0.8995,0.41233439948747463,1.1103409012068564,8000
clay.tot,plsr,SERBIA.SSL,135,C3n,25,0.9176470588235295,2.653406469520526,0.8995,0.41233439948747463,1.1103409012068564,8000
clay.tot,plsr,SERBIA.SSL,135,C2,50,0.8952941176470588,2.580190760955752,0.8995,0.41233439948747463,1.1103409012068564,8000
clay.tot,plsr,SERBIA.SSL,135,C3n,50,0.9047058823529411,2.6876818935861833,0.8995,0.41233439948747463,1.1103409012068564,8000
clay.tot,hgb,SERBIA.SSL,135,C0,0,0.7211764705882353,1.4950656751206683,0.886,0.3920681172164873,0.6638838720935853,8000
clay.tot,hgb,SERBIA.SSL,135,C0n,0,0.9141176470588237,2.4672667546980858,0.886,0.3920681172164873,0.6638838720935853,8000
clay.tot,hgb,SERBIA.SSL,135,C2,25,0.9105882352941176,2.491907570329364,0.886,0.3920681172164873,0.6638838720935853,8000
